6.5,0.15,4,0,3
1.25,0.15,2,2,2
7.25,0.95,0,0,4
2,0.35,2,1,2
8.5,0.95,7,2,5
2.25,0.35,0,1,1
4,0.15,0,2,0
7.75,0.15,0,4,0
12,0.15,4,0,0
2,0.15,4,3,2
10,0.55,1,3,5
2.25,0.15,3,0,0
7,0.35,0,1,0
9.25,0.15,9,1,2
4,0.75,1,4,3
10.25,0.95,9,5,4
9.75,0.35,8,0,4
2.5,0.95,0,0,2
9.25,0.35,1,1,0
0.5,0.95,2,2,1
4.75,0.95,0,1,1
11,0.95,8,3,0
6.5,0.75,1,3,0
3,0.35,3,1,2
3,0.75,1,3,3
4.5,0.15,6,2,1
1,0.15,3,1,2
1.75,0.95,2,2,2
2.25,0.55,0,1,2
3.75,0.15,0,0,2
10.25,0.55,0,3,5
0.5,0.75,1,2,1
1,0.95,2,1,2
8.5,0.35,0,5,1
7.75,0.15,4,2,1
11.75,0.95,1,8,0
1,0.15,1,1,0
10.5,0.75,9,1,3
1,0.15,3,1,2
10.25,0.35,0,6,0
2.75,0.55,1,0,0
5.75,0.35,0,0,2
7.25,0.35,0,2,0
4,0.95,4,3,2
8.25,0.75,1,5,1
8,0.55,9,1,1
6.5,0.95,5,6,4
7.75,0.15,8,4,3
6.25,0.35,4,2,3
7.75,0.75,0,1,1
4.5,0.35,4,0,0
5.25,0.95,6,5,3
12,0.15,0,2,1
9.25,0.75,3,0,3
6.25,0.55,3,0,3
5.5,0.95,6,2,4
10,0.55,2,5,0
1.75,0.75,3,0,1
0.25,0.55,0,0,1
4.5,0.55,0,2,0
8.5,0.35,7,0,0
12,0.95,0,0,4
0.25,0.75,1,0,1
4.5,0.55,6,1,3
11.5,0.55,1,2,7
3.25,0.75,0,2,1
6,0.35,3,1,3
6.25,0.75,9,3,2
2.5,0.75,0,0,1
9,0.95,0,0,1
5.5,0.75,0,0,3
11.25,0.95,0,8,0
7,0.95,1,2,5
6.75,0.15,2,3,0
5.5,0.75,1,3,2
6.75,0.35,6,5,3
1.75,0.75,0,0,1
11.5,0.15,8,8,4
12.5,0.55,6,0,2
1.5,0.55,0,1,1
6.25,0.15,4,3,3
10,0.95,3,4,1
1.75,0.95,1,1,2
6.5,0.75,7,3,4
7,0.35,7,5,0
12,0.15,7,6,4
10,0.75,3,0,2
0.5,0.55,2,1,1
12.5,0.35,2,0,4
7.5,0.75,0,1,2
7.25,0.75,1,5,2
8.75,0.15,3,0,2
8.5,0.35,0,4,3
10.75,0.95,8,4,0
7.5,0.95,3,3,0
5.5,0.15,0,3,0
10.75,0.95,5,8,3
8.75,0.75,7,2,2
2.25,0.95,3,0,0
6.25,0.35,0,3,3
6,0.55,3,4,4
10.25,0.75,7,1,0
7.25,0.55,4,1,5
0.75,0.35,1,1,0
8.75,0.15,1,1,1
8.5,0.15,5,0,5
10.25,0.55,3,0,3
8.5,0.35,0,0,4
7.75,0.75,3,3,0
7,0.15,3,6,3
6,0.55,2,0,0
9.5,0.35,3,7,3
5.25,0.55,8,5,1
10.25,0.95,0,0,5
3.25,0.55,4,1,1
5,0.15,5,1,4
4.75,0.75,0,1,3
12.25,0.35,7,0,0
5.75,0.15,5,0,0
7,0.35,8,6,3
9.5,0.95,0,5,0
9.75,0.75,6,2,5
6.25,0.95,8,5,4
6.25,0.75,9,3,5
9.25,0.35,5,2,3
5.5,0.15,3,0,0
12.5,0.95,8,6,0
0.75,0.15,1,0,0
6.75,0.95,4,6,5
3.75,0.35,1,2,1
1.5,0.55,2,2,2
12,0.35,2,0,0
0.25,0.75,1,1,0
4,0.35,2,4,1
6.75,0.55,0,0,1
3,0.75,0,0,2
12,0.95,3,4,0
6,0.35,9,1,4
6.75,0.35,5,0,1
